FileName,centroid_freq,bandEnergy_1,norm_E_approx,bandEnergy_4,bandEnergy_6,bsf_energy,bpfi_energy,bandEnergy_5,norm_E_d1,mean_freq,abs_mean,var_freq,skew_freq,bandEnergy_7,std_freq,shape_factor,median_freq,wavelet_entropy,peak_freq,kurt_freq,norm_E_d3,bpfo_energy,range,bandEnergy_8,bandEnergy_3,impulse_factor,clearance_factor,norm_E_d2,peak,crest_factor,norm_E_d4,bandEnergy_2,kurtosis,bandEnergy_10,bandEnergy_9,ftf_energy,fr_energy,skewness,bpfo_over_fr,ftf_over_fr,bsf_over_fr,bpfi_over_fr,mean,variance,mean_square,rms,std
X097,1.0983547886171467,0.6569918616426551,0.737183336791781,-0.22684212265956205,-1.184468269134548,0.4705532764429494,0.31350252348889246,-1.0414713344081172,-1.466305335671127,-1.4929076581718412,1.2105316046138637,1.371635868825094,1.3545811665001102,-0.8097371655245421,1.3343691479404303,-1.0511648051737061,-1.3559775437403834,1.2856877663002757,1.5516807033129676,1.070076571877647,3.1159324796633068,-0.29348950627582066,-1.1145646223066463,-0.8126766366122545,-0.4329879917051797,-0.980103956512883,-0.980103956512883,-1.570627293013202,-0.9696291138065423,-0.9696291138065389,-0.027932653814633147,2.4757093017316643,-0.8125054889389103,-0.6662112083665349,-0.6377361957378717,-0.14825554607648322,-0.11628155994593922,-0.9040987927144765,-0.32225517557322325,-0.15561435034895157,0.0511054847790593,-0.22122978016283393,-0.5750071440511171,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
X097,1.1383273724604912,0.5858762935460929,0.63209005877999,-0.22364377570009286,-1.184604719436898,0.7983020462723489,0.41294440153204925,-1.041652162566552,-1.4657509031002864,-1.5314756093364206,1.2136141386891297,1.3979284249970843,1.3564290621169508,-0.8096185744927495,1.3583937178435777,-1.052975911066743,-1.3676396351187445,1.2162729091528004,1.3776586588680357,1.004633758865958,3.2712702020422384,0.13068440084263278,-1.2646783814750098,-0.8120467321213705,-0.45094017553130816,-1.128192886119193,-1.128192886119193,-1.5478077393859329,-1.247684646124575,-1.247684646124571,-0.044619787612310405,2.552023403704164,-0.8226301747767961,-0.6633227317377315,-0.6308913981254721,0.21368125706139196,0.2876740513622279,-0.41868768371402393,-0.1779988838340829,-0.1667119509133047,-0.14609947403627624,-0.26408586758697933,-2.3260173551429664,-2.220446049250313e-16,-2.220446049250313e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
X097,1.0837800397217643,0.42289749501748714,0.47465776571691587,-0.21325176740997415,-1.184574806999725,1.1871201881930342,0.8523621347558297,-1.0422794436731413,-1.464049790525471,-1.5113724815040588,1.1940836531589034,1.3842634029254883,1.552107055815363,-0.8099675084652845,1.3459115873307597,-1.041472486471159,-1.3773698840144704,1.131499999011628,1.4253650206809156,1.2564331954815888,3.4728365066905584,-0.039199170022335465,-1.0704110181548263,-0.8116095953651237,-0.44057232033823324,-1.0327152892765017,-1.0327152892765017,-1.510899068387791,-1.0725095345927724,-1.072509534592769,-0.04602934201945251,2.713252079479797,-0.8166137618399029,-0.6681594792775578,-0.6327021069513539,0.023268174219718003,0.14335690475699472,-0.6743466775197219,-0.21949412794504666,-0.2509217398101993,-0.013383549789460611,-0.23902836520782908,-1.2316359732105604,0.0,0.0,0.0,0.0
X097,1.0956217700035242,0.38795334789304026,0.5849842742503881,-0.1943454606866906,-1.1846241043317425,0.6836113172644231,0.5754926862582124,-1.0422149961778382,-1.46556454491979,-1.5126050069620105,1.2157052880506878,1.3851036783845965,1.560367490795539,-0.8097211486086002,1.3466793847396452,-1.054203583297047,-1.3715647078673843,1.213015786195208,1.3787247551386157,1.249665151515398,3.3168016940143126,-0.20653135626750962,-1.0477462450201553,-0.8144894984886858,-0.4013722531496728,-1.0248891665957711,-1.0248891665957711,-1.5290900388255841,-1.052684733521041,-1.0526847335210379,-0.038996359412589776,2.729993150435621,-0.8153442470028315,-0.6684135732108607,-0.6387409053369191,-0.09602115674716652,-0.00893915109744794,-1.0525904653711218,-0.28472509282994474,-0.2496493840116939,-0.010186155208697305,-0.22967758282793466,1.504317481620454,0.0,0.0,0.0,0.0
X097,1.1739875597093163,0.33705479192554966,0.33085174288067687,-0.17389286560015346,-1.1845485905400717,0.8254109763454958,0.37010302048125787,-1.0417055541565905,-1.4634656553941636,-1.4184943304254762,1.2069970513066994,1.3200019076347684,1.5771745300731506,-0.8094692119933027,1.2870919734970756,-1.0490860482146167,-1.3290842104633074,1.0383479210150834,1.4209756447138044,1.2862711909052198,3.647133743783683,1.55048575578399,-1.2529101346259106,-0.8072602160785141,-0.4038646800513845,-1.1623542379640786,-1.1623542379640786,-1.4848946105193914,-1.3133175258665801,-1.3133175258665768,-0.029602763005144573,2.7706493995726222,-0.8179466712644221,-0.6649689946980029,-0.6111044499337128,3.260104130371142,4.1867849339909515,-1.022399101186259,-0.3685800179677727,-0.24261531817806478,-0.31704576097459664,-0.2906215562387116,1.5772762404159477,4.440892098500626e-16,4.440892098500626e-16,2.220446049250313e-16,2.220446049250313e-16
X097,1.1467970611580305,0.32765912975045175,0.5451036136338606,-0.18046239716871482,-1.1844342290445689,0.9696683969401974,0.605906678876226,-1.0422190929819288,-1.4639995849290692,-1.4043062712968846,1.1993647720950977,1.310021480001608,1.4712606342067707,-0.8097551245372722,1.277938762474967,-1.0445897499087393,-1.3786670735915107,1.18973251949542,1.557694016277919,1.2401505104050636,3.3723884333247773,-0.2647769117312828,-1.1702523406377694,-0.80750543474362,-0.39928131817607704,-1.0512044627711628,-1.0512044627711628,-1.5228595128540015,-1.1060047952488867,-1.1060047952488834,-0.042004645961032996,2.782918684364453,-0.8168786716299598,-0.6676063880095096,-0.6043602741545292,-0.10739033363780136,0.01038164976038987,-1.0857531764098456,-0.3698937831499125,-0.30054488584418537,0.04788936853514383,-0.23152353599420603,-0.17373397067590163,0.0,0.0,0.0,0.0
X097,1.1068295134784343,0.3846927650270653,0.3932120774463702,-0.17971622532947254,-1.1845200380893204,1.1440021552287847,0.8828754757651202,-1.0420980886923303,-1.462044723112004,-1.429011688069036,1.2434310806042583,1.32737183161832,1.3469385340422408,-0.8097740919032161,1.2938479408259582,-1.070408043467899,-1.325231348857679,1.2677667427821429,1.4711794502576845,1.0636610049330284,3.4440325440813657,-0.22455359438520361,-1.1554252811085224,-0.8103577695660223,-0.4365687450794883,-1.0546904627321048,-1.0546904627321048,-1.493260936555889,-1.102465638191376,-1.1024656381913724,0.07081714840527245,2.7337110073583597,-0.8286998889156432,-0.6685293747425217,-0.626200028799827,-0.16233389428461467,-0.1631347325441077,-0.7678021941260118,-0.1088991565836168,-0.051672194071543796,0.47664592500077324,-0.15042645853743486,0.37345672029030125,0.0,0.0,0.0,0.0
X097,1.1133524907124746,0.49816498601947706,0.4936299022922814,-0.18988833100413383,-1.1845514854019006,0.7772999788733885,0.6142181053314946,-1.0419894645625973,-1.4633147641500315,-1.4943218658797779,1.276705803936094,1.372605486096713,1.4036932689041839,-0.8098884372672939,1.335255717513063,-1.0896785353569678,-1.3470625604942759,1.287684077765293,1.5368380978301142,1.1185708801865388,3.3476689292791715,-0.30866043550030425,-1.2639037866947898,-0.8106789083170651,-0.46294287260835926,-1.1546211376966178,-1.1546211376966178,-1.5018587383767523,-1.2847889253336557,-1.2847889253336517,0.028822667113272363,2.6282399556630125,-0.8407601017087777,-0.6683090651904692,-0.6244141356628943,-0.0251365262318926,0.2403826058187401,-0.6254156182383402,-0.477280897117924,-0.3985459416490042,-0.13383214899599244,-0.25541446533073264,1.6867143786091883,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
X097,1.1349481204521175,0.5459030008776041,0.5439149022828098,-0.18554713394593145,-1.1844195399793165,0.5853942805078514,0.27442979609005125,-1.0417278515839423,-1.462682264882031,-1.4281498015005814,1.2781499833993066,1.3267688677746514,1.3789171096365809,-0.8097712606052083,1.2932953064139818,-1.09051057423475,-1.3198484235757053,1.2581514920435328,1.464154879562353,1.0837052107175675,3.324704539093501,-0.24493678129844598,-1.1628750256174871,-0.802848363118959,-0.4265103616776043,-1.1041831140249347,-1.1041831140249347,-1.5009639462268398,-1.188609491932928,-1.1886094919329246,-0.021603763794402008,2.5666250528958776,-0.8381201138495208,-0.6676140533667374,-0.6180847809264018,0.2925834598064566,0.3835617318196742,-0.7627453141160815,-0.45549758086510017,-0.17428383669279057,-0.19990168276744155,-0.27151907543623893,-0.4473293161590031,0.0,0.0,0.0,0.0
X097,1.0996290452115602,0.48645268696707533,0.5308425374597009,-0.17142529235002743,-1.1844895602758831,1.0288861040817234,0.7379240312307881,-1.0422952492729214,-1.462415263834068,-1.4411614291073729,1.2504585438044589,1.3358562588526444,1.4608905630636342,-0.8099808184205093,1.3016223011510224,-1.0744938862679607,-1.3519349223788453,1.34425406287054,1.5384822101610045,1.209713701370917,3.2736485248016,-0.22525404861905365,-1.0756379924001456,-0.8072845956367276,-0.42985693109142503,-1.0570612993890276,-1.0570612993890276,-1.4901872283163335,-1.1053454260289137,-1.1053454260289104,0.03055444769627582,2.6223833762108755,-0.824182427616585,-0.6681051332350761,-0.6167495780997257,0.519951740667163,0.4573879792763063,-0.7836183058647711,-0.4545069846377952,-0.03397543845140014,-0.15984237637824125,-0.26301866921750017,0.37345672029030125,0.0,0.0,0.0,0.0
