DataNumber,FaultType,FaultSize,Load,RPM,SamplingFreq,BA_Mean,BA_Std,BA_Min,BA_Max,BA_RMS,BA_Kurtosis,BA_Skewness,DE_Mean,DE_Std,DE_Min,DE_Max,DE_RMS,DE_Kurtosis,DE_Skewness,FE_Mean,FE_Std,FE_Min,FE_Max,FE_RMS,FE_Kurtosis,FE_Skewness
X118,B,0007,0,1796.0,12000.0,-5.6627685964878506e-06,0.03529596914804834,-0.15994473402601492,0.15567734312532044,0.03529578576865725,3.1241080808854287,0.030537497604992796,0.00014380119575195966,0.1377909045166624,-0.6196271283792647,0.5794689993652463,0.13779026189102755,2.9588953114387,-0.006780700305074662,-9.97711177973709e-06,0.1053046228181408,-0.4190059387026888,0.40486678857003844,0.10530407482777973,2.762804176314487,0.007305055798870176
X119,B,0007,1,1772.0,12000.0,1.7030363959748774e-05,0.034857063795506765,-0.13853958864939336,0.14078836387286184,0.03485688640817125,3.0096860804700585,0.027763050994407703,-7.311727591620766e-05,0.13885082361007967,-0.6635408970738204,0.6357777057205909,0.1388501196782883,2.971107115714355,0.0076984557353398375,0.0005019912133052192,0.0817556785083931,-0.3444506155101796,0.3516293844898204,0.08175679383782149,2.896183056555578,-0.011971321040959064
X120,B,0007,2,1748.0,12000.0,0.00010963489847592463,0.037078504002206934,-0.15999137634039648,0.1564756859741436,0.03707847297096085,3.143466646103085,0.04325645484722828,-5.4912400660713806e-05,0.14750685125454308,-0.5594425181799354,0.6000194379078888,0.14750609320886932,2.8494058344703164,0.03386057327259105,0.000390857117386102,0.08542154526540381,-0.35059695547731085,0.3534957717954164,0.08542199456850398,2.9200360813980466,-0.005384697362693324
X121,B,0007,3,1722.0,12000.0,-4.130770745148976e-05,0.045149442550952046,-0.18910930059320818,0.2028431029676227,0.04514922629351898,2.97868456316894,0.10155298225998306,-4.2475635428496044e-05,0.15410831744727477,-0.7247619405123412,0.6673071213639062,0.15410752065133698,2.9013212441436838,0.018634007414601562,0.00011566562903168317,0.12130511470772347,-0.4692030439543017,0.44363150150024383,0.12130453805304217,2.7152489182102695,-0.1079255110779722
X185,B,0014,0,1796.0,12000.0,0.00013056485584931905,0.046187298460427066,-0.30062069552990733,0.34929360714071583,0.046187242445589916,3.8070897188383745,0.043624028755350264,-5.653457471857278e-05,0.1475159682706877,-1.9682036960725562,2.2734648468416156,0.14751521078966973,20.807148125632676,0.27431520051815367,0.00010978330723761309,0.08370008960796033,-0.5178838496283684,0.6053361503716315,0.08369972566658378,3.6792305504601583,0.008182327462421857
X186,B,0014,1,1772.0,12000.0,3.424180366333902e-05,0.04613186589475864,-0.1707056968016779,0.1711109204090046,0.04613163833221007,2.740874218794393,0.04521983637741672,-2.049906939338947e-05,0.1413064983008241,-1.3083916945538412,1.335240041973105,0.14130576381445076,9.077483910469308,0.017143662544030606,0.0001303022544726763,0.06742105133607802,-0.3400430465144667,0.32172604439462416,0.06742082609964611,3.1715699440597724,0.0070179611403384185
X187,B,0014,2,1749.0,12000.0,-6.150571397259317e-05,0.0479222224453046,-0.2643816260366729,0.3070295312333568,0.0479220123196496,3.5505957701612054,0.1259616381070058,-4.450871810110649e-05,0.14755710416253784,-1.3903134120335534,1.8345112187049695,0.14755634234673057,9.955898114182123,0.15355690033445651,-0.00020186917518738045,0.07899215134467286,-0.46388327627746007,0.4362130873589035,0.07899199787145444,3.4134582821156307,-0.04013789897330428
X188,B,0014,3,1724.0,12000.0,0.0001249342468803073,0.05151948907426256,-0.24607255162849062,0.3235681605376815,0.051519372225608755,3.396385204947981,0.322471491331493,1.2020254461359536e-05,0.13886293134553873,-1.7174139110666464,1.9846451308495212,0.13886220861947257,15.091088379386653,0.18842711866567774,-7.862712197878336e-05,0.12790333814414648,-0.6772196088265242,0.6152949366280213,0.1279026961468801,2.785715098894662,-0.11230748794915504
X222,B,0021,0,1796.0,12000.0,-4.1940464395454066e-05,0.042115299486937,-0.1779368399784904,0.17981378316691018,0.042115101019128756,2.9477364038199583,-0.02200733078947402,0.0007516507848186014,0.13847038043944468,-1.6392407790679757,1.6382128337064754,0.13847169930458111,9.026741461158128,0.02978566416470657,0.00017430336036929457,0.09464296150184741,-0.585232268192661,0.6078422772618844,0.09464262907588607,3.034100824251013,-0.0070726903135958745
X223,B,0021,1,1774.0,12000.0,-7.644459625525863e-05,0.0351788719607087,-0.18580229189224937,0.1468804380780771,0.03517877179531446,2.983899590126964,-0.009846132651665314,6.0232280247148135e-05,0.12340525200971869,-1.4178104926049824,1.4704485493111852,0.12340462397167605,8.942669622488623,0.002018256610414463,0.0001485793693023623,0.07852955511076042,-0.6216379505360006,0.5648620494639993,0.07852928665965808,3.5127413932961713,-0.0351118585117735
X224,B,0021,2,1754.0,12000.0,0.0001091660128692951,0.035842367859905425,-0.1745408471288221,0.14953108165456072,0.03584234742575352,3.0135400073371477,0.03923755720718435,7.586666886883429e-06,0.10739715484952693,-0.5353962979268423,0.6409589116539961,0.10739659575585589,3.300434680551274,0.0010659542667160174,-2.4069631826216258e-05,0.0769796996393645,-0.33166304417728076,0.3670878649136283,0.076979302465391,2.9635348187350252,-0.03881632568700471
X225,B,0021,3,1729.0,12000.0,-0.00015776131721966183,0.04300543998853672,-0.1608884977489704,0.18177310462491686,0.043005505367924066,2.942463698184205,0.09792250866733307,-3.839605664137958e-06,0.1179283647324192,-0.4976139527148624,0.5096462868060957,0.11792775058309352,3.10959326963881,0.024343835969797514,1.1746154934581902e-05,0.09304430764345344,-0.37622210054961086,0.37039971763220736,0.09304382377785886,2.9576443379180986,-0.049341776136724164
X048,B,0028,0,1797.0,12000.0,,,,,,,,0.003846002747498417,2.074496883084135,-9.288828902808751,10.735533897191248,2.0744896435386697,3.779831447643696,0.05380551102343499,,,,,,,
X049,B,0028,1,1772.0,12000.0,,,,,,,,0.0027797833466872745,2.024299618372793,-10.10114072268873,11.66475407731127,2.0242909837368193,3.885313229207982,0.04769377964882606,,,,,,,
X050,B,0028,2,1750.0,12000.0,,,,,,,,-0.0011089797048423368,2.143802614334657,-9.922082922427759,10.441634477572242,2.1437917355036107,3.7669384250693887,0.043259182056692276,,,,,,,
X051,B,0028,3,1730.0,12000.0,,,,,,,,0.0012763724603125325,2.14352266313892,-10.099497847141771,11.344945952858229,2.143511878942786,3.9074874863786637,0.04253698428498923,,,,,,,
X105,IR,0007,0,1797.0,12000.0,-3.4834997614479495e-05,0.09033707055104265,-0.3426430599605225,0.36593735546974465,0.09033660676066115,3.0667208682650644,0.10135401997758446,-0.00011440172994735739,0.29137496433874616,-1.3835838788045483,1.7255869395587253,0.29137346921558516,5.358215636468774,0.16916729436634595,2.9349676171735912e-05,0.2435013608495965,-1.1726755140170102,0.8983063041648081,0.24350009437883435,3.323211595394615,-0.20663357239170443
X106,IR,0007,1,1772.0,12000.0,-0.00011512687877206511,0.09585941736858428,-0.36721079008722907,0.3645865986368066,0.09585898723334212,3.101858269467869,0.01840121963120617,0.00010538706167513471,0.29228582661366953,-1.336632005720261,1.5730684733216551,0.2922843232870566,5.5570814304673775,0.13004965343533273,-0.0001913504974345443,0.23811784055261892,-1.185927003944404,0.9335420869646867,0.23811667723691943,3.3625035016017586,-0.14799840444139953
X107,IR,0007,2,1748.0,12000.0,2.7750146824944852e-05,0.09626552931768206,-0.36252801315807126,0.36653323313273006,0.0962650319331536,3.3217186617572354,-0.012900578704885559,4.5837695487301066e-05,0.2998535884718299,-1.3941844557305771,1.635068278800361,0.2998520302338749,5.5562726140289485,0.09029490462036598,-0.00010093203045263521,0.232352618686936,-0.9297687514812102,0.9232257939733352,0.23235143043602272,3.1204148186018883,0.02610396299191454
X108,IR,0007,3,1721.0,12000.0,9.61385377554127e-05,0.0967803876008955,-0.38692593083909926,0.36804819378998094,0.09677993128577332,3.2763409435258786,-0.13396874811265028,-6.996563824931118e-05,0.31307761314206356,-1.5113042254698361,1.5127505849094052,0.313075990343144,5.280620349483818,-0.012555040211466256,-7.365121940748571e-05,0.22488838841854125,-1.1155234116739527,0.8623874974169561,0.2248872291822956,3.225636432737808,-0.2089181760382269
X169,IR,0014,0,1796.0,12000.0,-6.35027692102798e-05,0.05668197034652622,-0.303724193770694,0.2907832246269322,0.056681710699508864,3.4224217968488273,0.027859212889222794,-0.0006124835980360001,0.19340710452473517,-2.0452177083818017,1.8998442876261823,0.19340706700572552,22.222028852230196,-0.07995442945922583,0.00045208856070834744,0.1156701780116855,-0.724506737177928,0.5941005355493446,0.11567045904029136,3.796023937378303,-0.016306080382198516
X170,IR,0014,1,1774.0,12000.0,-0.0001633599117111691,0.044572588215020394,-0.235469244385005,0.251483633953274,0.044572655425632345,3.1125221626491046,0.027894603231258475,5.5483820640026755e-05,0.16683005582034602,-1.7923334443160033,1.8959186115722202,0.16682919613790848,21.252374384830617,0.013058147817340115,0.0001436882539689911,0.0971618625453449,-0.6990292201930007,0.592458052534272,0.09716146274016267,3.832133171851256,0.006812553932371601
X171,IR,0014,2,1752.0,12000.0,-1.0128747280094246e-05,0.04481264558339672,-0.24374864702250268,0.22755188710212643,0.044812413328270656,3.171015388748688,0.04431808778335493,8.438378710391e-05,0.16245930528434438,-1.8841918113077063,1.8389837974747287,0.16245848105513752,22.158482431460435,0.03270397656752376,-9.25332091521173e-05,0.09239909407765583,-0.7131816484743035,0.5844692606166054,0.09239865916511006,4.3957786987135155,-0.024098327701221414
X172,IR,0014,3,1728.0,12000.0,4.9139728660225655e-05,0.06021945837952929,-0.2556355335873636,0.27952173644231004,0.060219164785075954,3.015543402705606,0.1315484400005446,6.846920022605785e-05,0.18187027618810728,-2.020619394224591,2.1239129411047504,0.18186934183307887,18.416618025472143,0.04678671011331052,-0.0003422117381510069,0.09699132795645843,-0.7239939613404236,0.6217333113868491,0.09699142650120324,4.513309290593242,0.004479980783952909
